Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ABP Regression,Chrome 66.0.3359.139,,2018-05-12 09:34:31,2018-05-12 09:36:20,1m - 48.963s,FAILED
,,,,,,
Test Cases/Launch Job Manager,Chrome 66.0.3359.139,,2018-05-12 09:34:32,2018-05-12 09:35:17,44.592s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-12 09:34:33,2018-05-12 09:34:41,8.014s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-12 09:34:41,2018-05-12 09:34:42,1.092s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-12 09:34:42,2018-05-12 09:34:44,2.263s,PASSED
sendKeys,Chrome 66.0.3359.139,,2018-05-12 09:34:44,2018-05-12 09:34:45,0.141s,PASSED
click,Chrome 66.0.3359.139,,2018-05-12 09:34:45,2018-05-12 09:34:45,0.239s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-12 09:34:45,2018-05-12 09:34:46,1.208s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-12 09:34:46,2018-05-12 09:34:47,0.586s,PASSED
click,Chrome 66.0.3359.139,,2018-05-12 09:34:47,2018-05-12 09:34:47,0.181s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-12 09:34:47,2018-05-12 09:35:17,30.051s,PASSED
,,,,,,
Test Cases/Select Inspection,Chrome 66.0.3359.139,,2018-05-12 09:35:17,2018-05-12 09:36:19,1m - 2.549s,FAILED
delay,Chrome 66.0.3359.139,,2018-05-12 09:35:17,2018-05-12 09:35:47,30.001s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-12 09:35:47,2018-05-12 09:35:47,0.169s,PASSED
click,Chrome 66.0.3359.139,,2018-05-12 09:35:47,2018-05-12 09:35:47,0.006s,NOT_RUN
click,Chrome 66.0.3359.139,,2018-05-12 09:35:47,2018-05-12 09:35:48,0.191s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-12 09:35:48,2018-05-12 09:35:48,0.111s,PASSED
click,Chrome 66.0.3359.139,,2018-05-12 09:35:48,2018-05-12 09:36:19,31.589s,FAILED
