Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ABP Regression - 02a - Reject - Biosecurity,Chrome 70.0.3538.102,,2018-11-23 15:58:08,2018-11-23 16:03:36,5m - 28.415s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.102,,2018-11-23 15:58:09,2018-11-23 15:58:23,14.815s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-23 15:58:10,2018-11-23 15:58:15,5.072s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-23 15:58:15,2018-11-23 15:58:16,1.353s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:16,2018-11-23 15:58:18,1.742s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:18,2018-11-23 15:58:18,0.361s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:18,2018-11-23 15:58:18,0.227s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 15:58:18,2018-11-23 15:58:23,5.112s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 70.0.3538.102,,2018-11-23 15:58:23,2018-11-23 16:00:36,2m - 12.408s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-23 15:58:24,2018-11-23 15:58:24,0.000s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:24,2018-11-23 15:58:25,0.238s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:25,2018-11-23 15:58:27,2.105s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:27,2018-11-23 15:58:28,1.273s,PASSED
"Statement - ABPInspectionTypeJ = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/span_ABPR01A - Composting and), ""text"", ""equals"", ABPInspectionType, true)",Chrome 70.0.3538.102,,2018-11-23 15:58:28,2018-11-23 15:58:28,0.094s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:28,2018-11-23 15:58:29,0.617s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:29,2018-11-23 15:58:31,2.240s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:31,2018-11-23 15:58:32,0.574s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:32,2018-11-23 15:58:32,0.689s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:32,2018-11-23 15:58:33,0.587s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:33,2018-11-23 15:58:33,0.490s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:33,2018-11-23 15:58:34,0.668s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:34,2018-11-23 15:58:34,0.483s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:34,2018-11-23 15:58:35,0.469s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:35,2018-11-23 15:58:35,0.502s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:35,2018-11-23 15:58:36,0.451s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:36,2018-11-23 15:58:36,0.607s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:36,2018-11-23 15:58:37,0.417s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:37,2018-11-23 15:58:38,0.778s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:38,2018-11-23 15:58:38,0.708s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:38,2018-11-23 15:58:39,0.730s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:39,2018-11-23 15:58:40,0.713s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:40,2018-11-23 15:58:42,1.677s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:42,2018-11-23 15:58:42,0.722s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:42,2018-11-23 15:58:43,0.825s,PASSED
"Statement - FullAddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/Address), ""text"", ""equals"", com.kms.katalon.core.testdata.TestDataFactory.findTestData(Pre Production/ABP/ABP Inspection Data 01a).getValue(3, 1), true)",Chrome 70.0.3538.102,,2018-11-23 15:58:43,2018-11-23 15:58:43,0.038s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:43,2018-11-23 15:58:45,1.446s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:45,2018-11-23 15:58:45,0.871s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 15:58:45,2018-11-23 15:58:47,2.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:47,2018-11-23 15:58:48,0.592s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-23 15:58:48,2018-11-23 15:58:54,5.673s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:54,2018-11-23 15:58:54,0.743s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:58:54,2018-11-23 15:58:59,4.155s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:58:59,2018-11-23 15:59:01,2.766s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:59:01,2018-11-23 15:59:02,0.850s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:59:02,2018-11-23 15:59:02,0.002s,NOT_RUN
Statement - mydate = new java.util.Date(),Chrome 70.0.3538.102,,2018-11-23 15:59:02,2018-11-23 15:59:02,0.004s,PASSED
Statement - tomorrow = mydate.next(),Chrome 70.0.3538.102,,2018-11-23 15:59:02,2018-11-23 15:59:02,0.010s,PASSED
"Statement - formattedDate = tomorrow.format(""dd-MMM-yyyy"")",Chrome 70.0.3538.102,,2018-11-23 15:59:02,2018-11-23 15:59:02,0.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:59:02,2018-11-23 15:59:04,1.325s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:59:04,2018-11-23 15:59:05,1.092s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:59:05,2018-11-23 15:59:05,0.611s,PASSED
Statement - InspectionID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/InspectionID)),Chrome 70.0.3538.102,,2018-11-23 15:59:05,2018-11-23 15:59:06,0.538s,PASSED
"Statement - InspectionID = InspectionID.replaceAll(""Viewing Job "", """")",Chrome 70.0.3538.102,,2018-11-23 15:59:06,2018-11-23 15:59:06,0.014s,PASSED
Statement - log.logWarning(InspectionID),Chrome 70.0.3538.102,,2018-11-23 15:59:06,2018-11-23 15:59:06,0.005s,PASSED
Statement - temp = InspectionID,Chrome 70.0.3538.102,,2018-11-23 15:59:06,2018-11-23 15:59:06,0.034s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 15:59:06,2018-11-23 16:00:36,1m - 30.004s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager,Chrome 70.0.3538.102,,2018-11-23 16:00:36,2018-11-23 16:01:01,25.492s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-23 16:00:36,2018-11-23 16:00:40,3.560s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-23 16:00:40,2018-11-23 16:00:41,1.339s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 16:00:41,2018-11-23 16:00:44,2.845s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-23 16:00:44,2018-11-23 16:00:44,0.143s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:00:44,2018-11-23 16:00:45,0.239s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 16:00:45,2018-11-23 16:00:46,1.238s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 16:00:46,2018-11-23 16:00:46,0.400s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:00:46,2018-11-23 16:00:46,0.200s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:00:46,2018-11-23 16:01:01,15.002s,PASSED
,,,,,,
Test Cases/Generic/Select Inspection For Rejection - Biosecurity,Chrome 70.0.3538.102,,2018-11-23 16:01:01,2018-11-23 16:03:07,2m - 5.573s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:01:02,2018-11-23 16:01:32,30.004s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-23 16:01:32,2018-11-23 16:01:32,0.251s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:01:32,2018-11-23 16:01:33,0.173s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-23 16:01:33,2018-11-23 16:01:34,1.211s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:01:34,2018-11-23 16:01:34,0.000s,NOT_RUN
"Statement - InspectionRef = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Reject Inspection/Page_JClient/div_35098), ""text"", ""equals"", temp, true, STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-23 16:01:34,2018-11-23 16:01:34,0.000s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:01:34,2018-11-23 16:01:54,20.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(InspectionRef, 30, OPTIONAL))",Chrome 70.0.3538.102,,2018-11-23 16:01:54,2018-11-23 16:02:27,33.171s,PASSED
Statement - Else,Chrome 70.0.3538.102,,2018-11-23 16:02:27,2018-11-23 16:02:30,3.341s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:02:30,2018-11-23 16:02:31,0.834s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:02:31,2018-11-23 16:02:33,2.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:02:33,2018-11-23 16:02:33,0.270s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:02:33,2018-11-23 16:02:35,2.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-23 16:02:35,2018-11-23 16:02:36,0.551s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-23 16:02:36,2018-11-23 16:02:36,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-23 16:02:36,2018-11-23 16:02:36,0.194s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:02:36,2018-11-23 16:02:37,0.702s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:02:37,2018-11-23 16:03:07,30.003s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre - Check Result,Chrome 70.0.3538.102,,2018-11-23 16:03:07,2018-11-23 16:03:20,13.125s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-23 16:03:08,2018-11-23 16:03:11,3.685s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-23 16:03:11,2018-11-23 16:03:13,1.522s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 16:03:13,2018-11-23 16:03:14,1.731s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 16:03:14,2018-11-23 16:03:15,0.408s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:03:15,2018-11-23 16:03:15,0.182s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:03:15,2018-11-23 16:03:20,5.009s,PASSED
,,,,,,
Test Cases/ABP/Rejection/Control Centre - Check Results - Rejection,Chrome 70.0.3538.102,,2018-11-23 16:03:20,2018-11-23 16:03:29,8.594s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-23 16:03:21,2018-11-23 16:03:21,0.000s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 16:03:21,2018-11-23 16:03:21,0.421s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:03:21,2018-11-23 16:03:22,0.710s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-23 16:03:22,2018-11-23 16:03:26,3.937s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:03:26,2018-11-23 16:03:29,3.002s,PASSED
,,,,,,
Test Cases/ABP/Generic/Check Subsequent Inspection Exist,Chrome 70.0.3538.102,,2018-11-23 16:03:29,2018-11-23 16:03:36,7.435s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:03:29,2018-11-23 16:03:31,2.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:03:31,2018-11-23 16:03:31,0.403s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 16:03:31,2018-11-23 16:03:32,0.546s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 16:03:32,2018-11-23 16:03:34,2.002s,PASSED
verifyElementVisible,Chrome 70.0.3538.102,,2018-11-23 16:03:34,2018-11-23 16:03:35,1.184s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-23 16:03:35,2018-11-23 16:03:36,0.857s,PASSED
