Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ABP Regression - 02a - Reject - Conflict of Interest,Chrome 70.0.3538.110,,2018-11-29 15:12:43,2018-11-29 15:18:02,5m - 19.274s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.110,,2018-11-29 15:12:43,2018-11-29 15:12:59,15.473s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-11-29 15:12:45,2018-11-29 15:12:50,5.060s,PASSED
navigateToUrl(CCURL),Chrome 70.0.3538.110,,2018-11-29 15:12:50,2018-11-29 15:12:51,1.685s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 70.0.3538.110,,2018-11-29 15:12:51,2018-11-29 15:12:53,2.071s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 70.0.3538.110,,2018-11-29 15:12:53,2018-11-29 15:12:54,0.353s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 70.0.3538.110,,2018-11-29 15:12:54,2018-11-29 15:12:54,0.189s,PASSED
delay(5),Chrome 70.0.3538.110,,2018-11-29 15:12:54,2018-11-29 15:12:59,5.055s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 70.0.3538.110,,2018-11-29 15:12:59,2018-11-29 15:15:08,2m - 8.784s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.110,,2018-11-29 15:13:00,2018-11-29 15:13:00,0.005s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/div_Create""))",Chrome 70.0.3538.110,,2018-11-29 15:13:00,2018-11-29 15:13:00,0.155s,PASSED
