Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ABP Regression - 02a - Reject - No Longer Operating,Chrome 70.0.3538.102,,2018-11-23 15:11:53,2018-11-23 15:17:18,5m - 24.618s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.102,,2018-11-23 15:11:54,2018-11-23 15:12:10,15.903s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-23 15:11:55,2018-11-23 15:12:00,5.406s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-23 15:12:00,2018-11-23 15:12:02,1.667s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:12:02,2018-11-23 15:12:04,1.954s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:12:04,2018-11-23 15:12:05,0.524s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:05,2018-11-23 15:12:05,0.349s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 15:12:05,2018-11-23 15:12:10,5.075s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 70.0.3538.102,,2018-11-23 15:12:10,2018-11-23 15:14:20,2m - 10.263s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-23 15:12:11,2018-11-23 15:12:11,0.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:11,2018-11-23 15:12:11,0.211s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:11,2018-11-23 15:12:13,1.822s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:12:13,2018-11-23 15:12:14,1.240s,PASSED
"Statement - ABPInspectionTypeJ = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/span_ABPR01A - Composting and), ""text"", ""equals"", ABPInspectionType, true)",Chrome 70.0.3538.102,,2018-11-23 15:12:14,2018-11-23 15:12:14,0.102s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:14,2018-11-23 15:12:15,0.469s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:15,2018-11-23 15:12:17,2.083s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:17,2018-11-23 15:12:18,0.542s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:18,2018-11-23 15:12:18,0.480s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:18,2018-11-23 15:12:19,0.497s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:19,2018-11-23 15:12:19,0.519s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:19,2018-11-23 15:12:20,0.645s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:20,2018-11-23 15:12:20,0.548s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:20,2018-11-23 15:12:21,0.702s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:21,2018-11-23 15:12:21,0.505s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:21,2018-11-23 15:12:22,0.425s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:22,2018-11-23 15:12:22,0.507s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:22,2018-11-23 15:12:23,0.584s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:12:23,2018-11-23 15:12:24,0.668s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:12:24,2018-11-23 15:12:24,0.541s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:12:24,2018-11-23 15:12:25,0.651s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:25,2018-11-23 15:12:26,0.786s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:26,2018-11-23 15:12:27,1.481s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 15:12:27,2018-11-23 15:12:28,0.659s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:28,2018-11-23 15:12:29,0.816s,PASSED
"Statement - FullAddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/Address), ""text"", ""equals"", com.kms.katalon.core.testdata.TestDataFactory.findTestData(Pre Production/ABP/ABP Inspection Data 01a).getValue(3, 1), true)",Chrome 70.0.3538.102,,2018-11-23 15:12:29,2018-11-23 15:12:29,0.028s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 15:12:29,2018-11-23 15:12:30,1.357s,PASSED
