Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ABP Regression - 02a - Reject - No Replacement Inspection 1,Chrome 71.0.3578.98,,2019-02-01 12:24:10,2019-02-01 12:29:27,5m - 17.562s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 71.0.3578.98,,2019-02-01 12:24:10,2019-02-01 12:24:24,13.877s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 12:24:11,2019-02-01 12:24:15,4.567s,PASSED
navigateToUrl(CCURL),Chrome 71.0.3578.98,,2019-02-01 12:24:15,2019-02-01 12:24:16,0.987s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 71.0.3578.98,,2019-02-01 12:24:16,2019-02-01 12:24:17,0.434s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 71.0.3578.98,,2019-02-01 12:24:17,2019-02-01 12:24:17,0.150s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 12:24:17,2019-02-01 12:24:19,2.022s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 71.0.3578.98,,2019-02-01 12:24:19,2019-02-01 12:24:19,0.093s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-01 12:24:19,2019-02-01 12:24:24,5.002s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 71.0.3578.98,,2019-02-01 12:24:24,2019-02-01 12:26:34,2m - 10.266s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 71.0.3578.98,,2019-02-01 12:24:24,2019-02-01 12:24:24,0.002s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/div_Create""), 60, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-01 12:24:24,2019-02-01 12:24:32,7.469s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-01 12:24:32,2019-02-01 12:24:35,3.003s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/div_Create""))",Chrome 71.0.3578.98,,2019-02-01 12:24:35,2019-02-01 12:24:35,0.079s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/div_v-filterselect-button""))",Chrome 71.0.3578.98,,2019-02-01 12:24:35,2019-02-01 12:24:37,1.796s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/input_gwt-uid-8""), ABPInspection)",Chrome 71.0.3578.98,,2019-02-01 12:24:37,2019-02-01 12:24:37,0.209s,PASSED
"ABPInspectionTypeJ = modifyObjectProperty(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/span_ABPR01A - Composting and""), ""text"", ""equals"", ABPInspectionType, true)",Chrome 71.0.3578.98,,2019-02-01 12:24:37,2019-02-01 12:24:37,0.026s,PASSED
"click(ABPInspectionTypeJ, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-01 12:24:37,2019-02-01 12:24:37,0.199s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/div_v-filterselect-button_1""))",Chrome 71.0.3578.98,,2019-02-01 12:24:37,2019-02-01 12:24:40,2.583s,PASSED
