Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ABP Regression - Pre-Approval - Next Routine,Chrome 70.0.3538.110,R23 - FP-949,2018-12-04 14:31:10,2018-12-04 14:38:48,7m - 38.069s,FAILED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.110,,2018-12-04 14:31:10,2018-12-04 14:31:26,15.518s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-04 14:31:12,2018-12-04 14:31:17,5.483s,PASSED
navigateToUrl(CCURL),Chrome 70.0.3538.110,,2018-12-04 14:31:17,2018-12-04 14:31:19,1.482s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 70.0.3538.110,,2018-12-04 14:31:19,2018-12-04 14:31:20,1.724s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 70.0.3538.110,,2018-12-04 14:31:20,2018-12-04 14:31:21,0.362s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 70.0.3538.110,,2018-12-04 14:31:21,2018-12-04 14:31:21,0.222s,PASSED
delay(5),Chrome 70.0.3538.110,,2018-12-04 14:31:21,2018-12-04 14:31:26,5.054s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 70.0.3538.110,,2018-12-04 14:31:26,2018-12-04 14:33:38,2m - 11.762s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.110,,2018-12-04 14:31:27,2018-12-04 14:31:27,0.004s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/div_Create""))",Chrome 70.0.3538.110,,2018-12-04 14:31:27,2018-12-04 14:31:27,0.173s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/div_v-filterselect-button""))",Chrome 70.0.3538.110,,2018-12-04 14:31:27,2018-12-04 14:31:29,1.989s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/input_gwt-uid-8""), ABPInspection)",Chrome 70.0.3538.110,,2018-12-04 14:31:29,2018-12-04 14:31:31,1.790s,PASSED
