Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check Email,,,2019-01-07 14:27:16,2019-01-07 14:27:21,4.859s,ERROR
,,,,,,
Test Cases/Email/Check Email,,,2019-01-07 14:27:16,2019-01-07 14:27:20,3.856s,ERROR
"responseData = sendRequest(findTestObject(""CheckEmail"", [""f"":""check_email"", ""seq"":""0"", ""sid_token"":""0o023c6smtcm8i1somj12o63o6""]))",,,2019-01-07 14:27:17,2019-01-07 14:27:20,3.223s,PASSED
out.println(responseData.getResponseText()),,,2019-01-07 14:27:20,2019-01-07 14:27:20,0.053s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,2019-01-07 14:27:20,2019-01-07 14:27:20,0.008s,PASSED
res = jsonSlurper.parseText(responseData.getResponseText()),,,2019-01-07 14:27:20,2019-01-07 14:27:20,0.022s,PASSED
MailID = mail_id[1],,,2019-01-07 14:27:20,2019-01-07 14:27:20,0.032s,ERROR
,,,,,,
Test Cases/Email/FetchEmail,,,2019-01-07 14:27:20,2019-01-07 14:27:21,0.580s,ERROR
"responseData1 = sendRequest(findTestObject(""Fetch_Email"", [""email_id"":MailID]))",,,2019-01-07 14:27:21,2019-01-07 14:27:21,0.003s,ERROR
