Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create New Inspection,Chrome 66.0.3359.139,,2018-05-13 15:24:28,2018-05-13 15:25:33,1m - 5.091s,FAILED
,,,,,,
Test Cases/Launch Job Manager Control Centre,Chrome 66.0.3359.139,,2018-05-13 15:24:29,2018-05-13 15:24:43,14.027s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-13 15:24:29,2018-05-13 15:24:33,4.092s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-13 15:24:33,2018-05-13 15:24:35,2.039s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:35,2018-05-13 15:24:37,1.600s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:37,2018-05-13 15:24:37,0.367s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:37,2018-05-13 15:24:38,0.218s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-13 15:24:38,2018-05-13 15:24:43,5.051s,PASSED
,,,,,,
Test Cases/Create EMI Inspection,Chrome 66.0.3359.139,,2018-05-13 15:24:43,2018-05-13 15:25:32,49.519s,FAILED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:43,2018-05-13 15:24:43,0.180s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:43,2018-05-13 15:24:45,1.511s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:45,2018-05-13 15:24:45,0.429s,PASSED
clearText,Chrome 66.0.3359.139,,2018-05-13 15:24:45,2018-05-13 15:24:47,1.783s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:47,2018-05-13 15:24:47,0.327s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:47,2018-05-13 15:24:48,0.463s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:48,2018-05-13 15:24:48,0.338s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:48,2018-05-13 15:24:49,0.675s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:49,2018-05-13 15:24:49,0.287s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:49,2018-05-13 15:24:50,1.251s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:50,2018-05-13 15:24:51,0.300s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:51,2018-05-13 15:24:51,0.571s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:51,2018-05-13 15:24:52,0.421s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:52,2018-05-13 15:24:52,0.395s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:52,2018-05-13 15:24:52,0.353s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:52,2018-05-13 15:24:53,0.564s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:53,2018-05-13 15:24:53,0.342s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:53,2018-05-13 15:24:55,1.539s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-13 15:24:55,2018-05-13 15:24:57,1.783s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:57,2018-05-13 15:24:58,1.007s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:58,2018-05-13 15:24:59,1.671s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:24:59,2018-05-13 15:25:00,0.637s,PASSED
click,Chrome 66.0.3359.139,,2018-05-13 15:25:00,2018-05-13 15:25:32,32.335s,FAILED
