Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EMI Regression,Chrome 70.0.3538.67,,2018-10-17 15:24:49,2018-10-17 15:25:18,29.241s,PASSED
,,,,,,
Test Cases/Launch Job Manager,Chrome 70.0.3538.67,,2018-10-17 15:24:49,2018-10-17 15:25:17,27.404s,PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-17 15:24:51,2018-10-17 15:24:56,4.987s,PASSED
navigateToUrl,Chrome 70.0.3538.67,,2018-10-17 15:24:56,2018-10-17 15:24:57,1.041s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-17 15:24:57,2018-10-17 15:24:59,2.800s,PASSED
sendKeys,Chrome 70.0.3538.67,,2018-10-17 15:24:59,2018-10-17 15:25:00,0.231s,PASSED
click,Chrome 70.0.3538.67,,2018-10-17 15:25:00,2018-10-17 15:25:00,0.298s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-17 15:25:00,2018-10-17 15:25:01,1.297s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-17 15:25:01,2018-10-17 15:25:02,0.383s,PASSED
click,Chrome 70.0.3538.67,,2018-10-17 15:25:02,2018-10-17 15:25:02,0.204s,PASSED
delay,Chrome 70.0.3538.67,,2018-10-17 15:25:02,2018-10-17 15:25:17,15.041s,PASSED
