Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EMI Hygiene Regression,Chrome 70.0.3538.102,"R23 : FP-593, FP-796",2018-11-22 16:25:27,2018-11-22 16:33:22,7m - 54.800s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.102,,2018-11-22 16:25:28,2018-11-22 16:25:43,14.652s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 16:25:29,2018-11-22 16:25:34,4.973s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 16:25:34,2018-11-22 16:25:35,1.520s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:25:35,2018-11-22 16:25:37,1.634s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:25:37,2018-11-22 16:25:37,0.351s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:37,2018-11-22 16:25:37,0.215s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:25:37,2018-11-22 16:25:43,5.066s,PASSED
,,,,,,
Test Cases/EMI/Create EMI Hygiene Inspection,Chrome 70.0.3538.102,,2018-11-22 16:25:43,2018-11-22 16:30:23,4m - 40.586s,PASSED
Statement - logg = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-22 16:25:44,2018-11-22 16:25:44,0.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:44,2018-11-22 16:25:44,0.177s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:44,2018-11-22 16:25:45,1.783s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:25:45,2018-11-22 16:25:46,0.582s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:46,2018-11-22 16:25:46,0.372s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:25:46,2018-11-22 16:25:48,1.805s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:48,2018-11-22 16:25:49,0.408s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:49,2018-11-22 16:25:49,0.429s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:49,2018-11-22 16:25:49,0.390s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:49,2018-11-22 16:25:50,0.488s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:50,2018-11-22 16:25:50,0.371s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:50,2018-11-22 16:25:51,0.476s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:25:51,2018-11-22 16:25:51,0.439s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:25:51,2018-11-22 16:25:52,0.413s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:25:52,2018-11-22 16:25:52,0.361s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:25:52,2018-11-22 16:25:52,0.397s,PASSED
