Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EMI Regression - Packer,Chrome 71.0.3578.98,,2019-01-14 13:36:02,2019-01-14 13:43:55,7m - 52.396s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 71.0.3578.98,,2019-01-14 13:36:03,2019-01-14 13:36:17,14.402s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-14 13:36:04,2019-01-14 13:36:08,4.739s,PASSED
navigateToUrl(CCURL),Chrome 71.0.3578.98,,2019-01-14 13:36:08,2019-01-14 13:36:11,2.525s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 71.0.3578.98,,2019-01-14 13:36:11,2019-01-14 13:36:12,0.869s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 71.0.3578.98,,2019-01-14 13:36:12,2019-01-14 13:36:12,0.303s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 71.0.3578.98,,2019-01-14 13:36:12,2019-01-14 13:36:12,0.189s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-14 13:36:12,2019-01-14 13:36:17,5.022s,PASSED
,,,,,,
Test Cases/EMI/Create EMI Inspection,Chrome 71.0.3578.98,,2019-01-14 13:36:17,2019-01-14 13:40:29,4m - 11.692s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 71.0.3578.98,,2019-01-14 13:36:18,2019-01-14 13:36:18,0.002s,PASSED
"waitForElementClickable(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_Create""), 60, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-14 13:36:18,2019-01-14 13:36:29,10.877s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-14 13:36:29,2019-01-14 13:36:32,3.003s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_Create""))",Chrome 71.0.3578.98,,2019-01-14 13:36:32,2019-01-14 13:36:32,0.081s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_v-filterselect-button""))",Chrome 71.0.3578.98,,2019-01-14 13:36:32,2019-01-14 13:36:34,2.604s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/input_gwt-uid-8""), ""emi"")",Chrome 71.0.3578.98,,2019-01-14 13:36:34,2019-01-14 13:36:34,0.207s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/span_EMI Inspection""))",Chrome 71.0.3578.98,,2019-01-14 13:36:34,2019-01-14 13:36:35,0.215s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/input_gwt-uid-16""), ""15"")",Chrome 71.0.3578.98,,2019-01-14 13:36:35,2019-01-14 13:36:38,3.300s,PASSED
