Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EMI Regression - Producer,Chrome 70.0.3538.110,R21 - FP-72,2018-12-12 13:09:56,2018-12-12 13:18:32,8m - 35.588s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.110,,2018-12-12 13:09:57,2018-12-12 13:10:22,25.003s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-12 13:09:58,2018-12-12 13:10:03,5.207s,PASSED
navigateToUrl(CCURL),Chrome 70.0.3538.110,,2018-12-12 13:10:03,2018-12-12 13:10:05,1.469s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 70.0.3538.110,,2018-12-12 13:10:05,2018-12-12 13:10:06,1.595s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 70.0.3538.110,,2018-12-12 13:10:06,2018-12-12 13:10:07,0.364s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 70.0.3538.110,,2018-12-12 13:10:07,2018-12-12 13:10:07,0.211s,PASSED
delay(15),Chrome 70.0.3538.110,,2018-12-12 13:10:07,2018-12-12 13:10:22,15.073s,PASSED
,,,,,,
Test Cases/EMI/Create EMI Inspection,Chrome 70.0.3538.110,,2018-12-12 13:10:22,2018-12-12 13:14:23,4m - 1.348s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.110,,2018-12-12 13:10:23,2018-12-12 13:10:23,0.002s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_Create""))",Chrome 70.0.3538.110,,2018-12-12 13:10:23,2018-12-12 13:10:23,0.171s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_v-filterselect-button""))",Chrome 70.0.3538.110,,2018-12-12 13:10:23,2018-12-12 13:10:25,2.545s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/input_gwt-uid-8""), ""emi"")",Chrome 70.0.3538.110,,2018-12-12 13:10:25,2018-12-12 13:10:26,0.658s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/span_EMI Inspection""))",Chrome 70.0.3538.110,,2018-12-12 13:10:26,2018-12-12 13:10:26,0.369s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/input_gwt-uid-16""), ""15"")",Chrome 70.0.3538.110,,2018-12-12 13:10:26,2018-12-12 13:10:30,3.227s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_v-filterselect-button_1""))",Chrome 70.0.3538.110,,2018-12-12 13:10:30,2018-12-12 13:10:30,0.425s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/span_24 Hours""))",Chrome 70.0.3538.110,,2018-12-12 13:10:30,2018-12-12 13:10:30,0.428s,PASSED
"click(findTestObject(""JM_8918/Page_JM Control Centre/div_Region_v-filterselect-butt""))",Chrome 70.0.3538.110,,2018-12-12 13:10:30,2018-12-12 13:10:31,0.431s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/span_West""))",Chrome 70.0.3538.110,,2018-12-12 13:10:31,2018-12-12 13:10:31,0.535s,PASSED
"click(findTestObject(""JM_8918/Page_JM Control Centre/div_Inspection Type_v-filterse""))",Chrome 70.0.3538.110,,2018-12-12 13:10:31,2018-12-12 13:10:32,0.928s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/span_EMI Routine""))",Chrome 70.0.3538.110,,2018-12-12 13:10:32,2018-12-12 13:10:33,0.635s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/input_gwt-uid-34""), ""Test Automation"")",Chrome 70.0.3538.110,,2018-12-12 13:10:33,2018-12-12 13:10:34,0.783s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/input_gwt-uid-40""), RandomStringUtils.randomNumeric(5))",Chrome 70.0.3538.110,,2018-12-12 13:10:34,2018-12-12 13:10:35,0.909s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/input_gwt-uid-42""), RandomStringUtils.randomNumeric(5))",Chrome 70.0.3538.110,,2018-12-12 13:10:35,2018-12-12 13:10:35,0.505s,PASSED
"click(findTestObject(""JM_8918/Page_JM Control Centre/Page_JM Control Centre/div_Business Type_v-filtersele""))",Chrome 70.0.3538.110,,2018-12-12 13:10:35,2018-12-12 13:10:36,0.333s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/td_EGG PACKER""))",Chrome 70.0.3538.110,,2018-12-12 13:10:36,2018-12-12 13:10:36,0.563s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection/Page_JM Control Centre/span_""))",Chrome 70.0.3538.110,,2018-12-12 13:10:36,2018-12-12 13:10:37,0.777s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection/Address Search/Page_JM Control Centre/Postcode Search""))",Chrome 70.0.3538.110,,2018-12-12 13:10:37,2018-12-12 13:10:37,0.003s,NOT_RUN
"setText(findTestObject(""JM_8918/Page_JM Control Centre/input_Add Location_v-textfield""), findTestData(""Pre Production/EMI/EMI Inspection Data"").getValue(1, 1))",Chrome 70.0.3538.110,,2018-12-12 13:10:37,2018-12-12 13:10:39,2.285s,PASSED
"doubleClick(findTestObject(""JM_8918/Page_JM Control Centre/div_Search""))",Chrome 70.0.3538.110,,2018-12-12 13:10:39,2018-12-12 13:10:41,1.467s,PASSED
"FullAddress = modifyObjectProperty(findTestObject(""FSM1/Control Centre/Create EMI Inspection/Page_JM Control Centre/Address""), ""text"", ""equals"", findTestData(""Pre Production/EMI/EMI Inspection Data"").getValue(2, 1), true)",Chrome 70.0.3538.110,,2018-12-12 13:10:41,2018-12-12 13:10:41,0.110s,PASSED
"click(FullAddress, STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-12 13:10:41,2018-12-12 13:10:42,0.824s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection/Create Address/Page_JM Control Centre (2)/div_Add Selected Item""))",Chrome 70.0.3538.110,,2018-12-12 13:10:42,2018-12-12 13:10:42,0.693s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-12 13:10:42,2018-12-12 13:10:44,2.002s,PASSED
"setText(findTestObject(""JM_8918/Page_JM Control Centre/input_Fixed Resource_gwt-uid-1""), ""test"")",Chrome 70.0.3538.110,,2018-12-12 13:10:44,2018-12-12 13:10:46,2.046s,PASSED
