Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EMI Regression,Chrome 70.0.3538.102,,2018-11-14 10:36:24,2018-11-14 10:45:20,8m - 55.839s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.102,,2018-11-14 10:36:25,2018-11-14 10:36:42,16.672s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-14 10:36:26,2018-11-14 10:36:31,5.361s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-14 10:36:31,2018-11-14 10:36:33,2.021s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:33,2018-11-14 10:36:35,1.710s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:35,2018-11-14 10:36:36,0.794s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:36,2018-11-14 10:36:36,0.487s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 10:36:36,2018-11-14 10:36:42,5.191s,PASSED
,,,,,,
Test Cases/EMI/Create EMI Inspection,Chrome 70.0.3538.102,,2018-11-14 10:36:42,2018-11-14 10:41:24,4m - 42.510s,PASSED
Statement - logg = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-14 10:36:43,2018-11-14 10:36:43,0.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:43,2018-11-14 10:36:43,0.291s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:43,2018-11-14 10:36:46,3.255s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:46,2018-11-14 10:36:47,0.905s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:47,2018-11-14 10:36:48,0.580s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:48,2018-11-14 10:36:50,2.453s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:50,2018-11-14 10:36:51,0.616s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:51,2018-11-14 10:36:51,0.490s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:51,2018-11-14 10:36:52,0.661s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:52,2018-11-14 10:36:53,0.583s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:53,2018-11-14 10:36:53,0.471s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:53,2018-11-14 10:36:54,0.571s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:54,2018-11-14 10:36:54,0.667s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:54,2018-11-14 10:36:55,0.603s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:55,2018-11-14 10:36:55,0.513s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:55,2018-11-14 10:36:56,0.565s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:56,2018-11-14 10:36:57,0.691s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:57,2018-11-14 10:36:57,0.401s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:36:57,2018-11-14 10:36:59,2.199s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:36:59,2018-11-14 10:37:00,0.814s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:37:00,2018-11-14 10:37:01,1.029s,PASSED
"Statement - FullAddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(FSM1/Control Centre/Create EMI Inspection/Page_JM Control Centre/Address), ""text"", ""equals"", com.kms.katalon.core.testdata.TestDataFactory.findTestData(Pre Production/EMI/EMI Inspection Data).getValue(2, 1), true)",Chrome 70.0.3538.102,,2018-11-14 10:37:01,2018-11-14 10:37:01,0.071s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:37:01,2018-11-14 10:37:03,1.618s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:37:03,2018-11-14 10:37:04,0.689s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 10:37:04,2018-11-14 10:37:06,2.001s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:37:06,2018-11-14 10:37:07,1.120s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:37:07,2018-11-14 10:37:07,0.414s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:37:07,2018-11-14 10:37:08,0.665s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-14 10:37:08,2018-11-14 10:38:04,56.094s,PASSED
Statement - InspectionID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(FSM1/Control Centre/Create EMI Inspection/InspectionID/Page_JM Control Centre/InspectionID)),Chrome 70.0.3538.102,,2018-11-14 10:38:04,2018-11-14 10:38:04,0.258s,PASSED
"Statement - InspectionID = InspectionID.replaceAll(""Viewing Job "", """")",Chrome 70.0.3538.102,,2018-11-14 10:38:04,2018-11-14 10:38:04,0.000s,PASSED
Statement - logg.logWarning(InspectionID),Chrome 70.0.3538.102,,2018-11-14 10:38:04,2018-11-14 10:38:04,0.015s,PASSED
Statement - temp = InspectionID,Chrome 70.0.3538.102,,2018-11-14 10:38:04,2018-11-14 10:38:04,0.001s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 10:38:04,2018-11-14 10:41:24,3m - 20.022s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager,Chrome 70.0.3538.102,,2018-11-14 10:41:24,2018-11-14 10:41:50,25.404s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-14 10:41:25,2018-11-14 10:41:28,3.610s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-14 10:41:28,2018-11-14 10:41:29,0.940s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:41:29,2018-11-14 10:41:32,2.934s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-14 10:41:32,2018-11-14 10:41:32,0.134s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:41:32,2018-11-14 10:41:33,0.252s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:41:33,2018-11-14 10:41:34,1.346s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 10:41:34,2018-11-14 10:41:34,0.392s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 10:41:34,2018-11-14 10:41:35,0.182s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 10:41:35,2018-11-14 10:41:50,15.002s,PASSED
,,,,,,
