Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BSE16 Regression - Feedmill,Chrome 70.0.3538.102,,2018-11-18 21:49:34,2018-11-18 21:52:32,2m - 57.442s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager,Chrome 70.0.3538.102,,2018-11-18 21:49:36,2018-11-18 21:50:07,31.251s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-18 21:49:37,2018-11-18 21:49:44,6.769s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-18 21:49:44,2018-11-18 21:49:45,1.790s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:49:45,2018-11-18 21:49:49,3.281s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-18 21:49:49,2018-11-18 21:49:49,0.160s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:49:49,2018-11-18 21:49:49,0.519s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:49:49,2018-11-18 21:49:51,1.476s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:49:51,2018-11-18 21:49:51,0.637s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:49:51,2018-11-18 21:49:52,0.300s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-18 21:49:52,2018-11-18 21:50:07,15.070s,PASSED
,,,,,,
Test Cases/Form Jobs/BSE16/Create BSE Inspection,Chrome 70.0.3538.102,,2018-11-18 21:50:07,2018-11-18 21:50:30,23.188s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-18 21:50:08,2018-11-18 21:50:08,0.002s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-18 21:50:08,2018-11-18 21:50:23,15.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:23,2018-11-18 21:50:23,0.369s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-18 21:50:23,2018-11-18 21:50:26,3.011s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:26,2018-11-18 21:50:26,0.243s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:26,2018-11-18 21:50:27,0.371s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:27,2018-11-18 21:50:28,1.538s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:28,2018-11-18 21:50:29,0.486s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:29,2018-11-18 21:50:29,0.289s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:29,2018-11-18 21:50:29,0.331s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:29,2018-11-18 21:50:30,0.261s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:30,2018-11-18 21:50:30,0.381s,PASSED
Statement - mydate = new java.util.Date(),Chrome 70.0.3538.102,,2018-11-18 21:50:30,2018-11-18 21:50:30,0.006s,NOT_RUN
"Statement - formattedDate = mydate.format(""MM/dd/yyy"")",Chrome 70.0.3538.102,,2018-11-18 21:50:30,2018-11-18 21:50:30,0.001s,NOT_RUN
sendKeys,Chrome 70.0.3538.102,,2018-11-18 21:50:30,2018-11-18 21:50:30,0.008s,NOT_RUN
,,,,,,
Test Cases/Form Jobs/BSE16/Edit Job Details,Chrome 70.0.3538.102,,2018-11-18 21:50:30,2018-11-18 21:50:36,5.986s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:31,2018-11-18 21:50:31,0.473s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-18 21:50:31,2018-11-18 21:50:33,1.167s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:50:33,2018-11-18 21:50:33,0.871s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:33,2018-11-18 21:50:34,0.277s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:50:34,2018-11-18 21:50:34,0.709s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:50:34,2018-11-18 21:50:35,0.485s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:50:35,2018-11-18 21:50:35,0.413s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-18 21:50:35,2018-11-18 21:50:36,0.746s,PASSED
,,,,,,
Test Cases/Form Jobs/BSE16/Sample Details,Chrome 70.0.3538.102,,2018-11-18 21:50:36,2018-11-18 21:50:43,6.803s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:37,2018-11-18 21:50:37,0.476s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:37,2018-11-18 21:50:39,1.513s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:39,2018-11-18 21:50:39,0.367s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:50:39,2018-11-18 21:50:40,0.440s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:50:40,2018-11-18 21:50:40,0.342s,PASSED
Statement - mydate = new java.util.Date(),Chrome 70.0.3538.102,,2018-11-18 21:50:40,2018-11-18 21:50:40,0.007s,PASSED
"Statement - formattedDate = mydate.format(""MM/dd/yyy"")",Chrome 70.0.3538.102,,2018-11-18 21:50:40,2018-11-18 21:50:40,0.009s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-18 21:50:40,2018-11-18 21:50:40,0.525s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:40,2018-11-18 21:50:41,0.397s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-18 21:50:41,2018-11-18 21:50:43,2.002s,PASSED
,,,,,,
Test Cases/Form Jobs/BSE16/Establishment - Production Information,Chrome 70.0.3538.102,,2018-11-18 21:50:43,2018-11-18 21:50:51,8.501s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:43,2018-11-18 21:50:44,0.407s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-18 21:50:44,2018-11-18 21:50:46,1.876s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:46,2018-11-18 21:50:46,0.309s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:46,2018-11-18 21:50:46,0.195s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:46,2018-11-18 21:50:46,0.224s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:46,2018-11-18 21:50:47,0.260s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:47,2018-11-18 21:50:47,0.192s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:47,2018-11-18 21:50:47,0.321s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:47,2018-11-18 21:50:47,0.228s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:47,2018-11-18 21:50:48,0.219s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:48,2018-11-18 21:50:48,0.320s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:48,2018-11-18 21:50:48,0.293s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-18 21:50:48,2018-11-18 21:50:49,0.553s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:49,2018-11-18 21:50:49,0.205s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:49,2018-11-18 21:50:49,0.286s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-18 21:50:49,2018-11-18 21:50:51,2.003s,PASSED
,,,,,,
Test Cases/Form Jobs/BSE16/Restricted Proteins,Chrome 70.0.3538.102,,2018-11-18 21:50:51,2018-11-18 21:51:00,8.330s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:52,2018-11-18 21:50:52,0.364s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:52,2018-11-18 21:50:54,1.356s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:54,2018-11-18 21:50:54,0.324s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:54,2018-11-18 21:50:54,0.294s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:54,2018-11-18 21:50:55,0.220s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-18 21:50:55,2018-11-18 21:50:55,0.482s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:55,2018-11-18 21:50:55,0.229s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:55,2018-11-18 21:50:56,0.319s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:56,2018-11-18 21:50:56,0.333s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:56,2018-11-18 21:50:56,0.241s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:56,2018-11-18 21:50:56,0.249s,PASSED
click,Chrome 70.0.3538.102,,2018-11-18 21:50:56,2018-11-18 21:50:57,0.257s,PASSED
