Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BSE16 Regression - Livestock Farm,Chrome 70.0.3538.102,,2018-11-23 09:19:22,2018-11-23 09:22:30,3m - 7.521s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager,Chrome 70.0.3538.102,,2018-11-23 09:19:23,2018-11-23 09:19:51,27.654s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-23 09:19:24,2018-11-23 09:19:29,4.964s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-23 09:19:29,2018-11-23 09:19:31,1.769s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 09:19:31,2018-11-23 09:19:33,2.781s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-23 09:19:33,2018-11-23 09:19:34,0.169s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:19:34,2018-11-23 09:19:34,0.238s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 09:19:34,2018-11-23 09:19:35,1.306s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 09:19:35,2018-11-23 09:19:35,0.299s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:19:35,2018-11-23 09:19:36,0.161s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 09:19:36,2018-11-23 09:19:51,15.060s,PASSED
,,,,,,
Test Cases/Form Jobs/BSE16/Create BSE Inspection,Chrome 70.0.3538.102,,2018-11-23 09:19:51,2018-11-23 09:20:12,21.311s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-23 09:19:51,2018-11-23 09:19:51,0.001s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 09:19:51,2018-11-23 09:20:06,15.010s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:06,2018-11-23 09:20:06,0.243s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 09:20:06,2018-11-23 09:20:09,3.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:09,2018-11-23 09:20:10,0.183s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:10,2018-11-23 09:20:10,0.244s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:10,2018-11-23 09:20:11,0.862s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:11,2018-11-23 09:20:11,0.303s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:11,2018-11-23 09:20:11,0.211s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:11,2018-11-23 09:20:11,0.195s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:11,2018-11-23 09:20:12,0.200s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:12,2018-11-23 09:20:12,0.244s,PASSED
Statement - mydate = new java.util.Date(),Chrome 70.0.3538.102,,2018-11-23 09:20:12,2018-11-23 09:20:12,0.003s,NOT_RUN
"Statement - formattedDate = mydate.format(""MM/dd/yyy"")",Chrome 70.0.3538.102,,2018-11-23 09:20:12,2018-11-23 09:20:12,0.001s,NOT_RUN
sendKeys,Chrome 70.0.3538.102,,2018-11-23 09:20:12,2018-11-23 09:20:12,0.005s,NOT_RUN
,,,,,,
Test Cases/Form Jobs/BSE16/Edit Job Details - Livestock Farm,Chrome 70.0.3538.102,,2018-11-23 09:20:12,2018-11-23 09:20:18,6.204s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:12,2018-11-23 09:20:13,0.302s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-23 09:20:13,2018-11-23 09:20:13,0.758s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 09:20:13,2018-11-23 09:20:14,0.415s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:14,2018-11-23 09:20:14,0.194s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 09:20:14,2018-11-23 09:20:14,0.277s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 09:20:14,2018-11-23 09:20:15,0.271s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-23 09:20:15,2018-11-23 09:20:15,0.307s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-23 09:20:15,2018-11-23 09:20:15,0.221s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-23 09:20:15,2018-11-23 09:20:18,3.003s,PASSED
,,,,,,
Test Cases/Form Jobs/BSE16/Sample Details,Chrome 70.0.3538.102,,2018-11-23 09:20:18,2018-11-23 09:20:24,5.427s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:19,2018-11-23 09:20:19,0.334s,PASSED
click,Chrome 70.0.3538.102,,2018-11-23 09:20:19,2018-11-23 09:20:20,1.427s,PASSED
