Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IV17 Regression,Chrome 71.0.3578.98,,2019-01-08 15:03:49,2019-01-08 15:06:19,2m - 29.937s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager,Chrome 71.0.3578.98,,2019-01-08 15:03:49,2019-01-08 15:04:18,28.089s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-08 15:03:50,2019-01-08 15:03:54,3.862s,PASSED
navigateToUrl(JMURL),Chrome 71.0.3578.98,,2019-01-08 15:03:54,2019-01-08 15:03:55,1.054s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-08 15:03:55,2019-01-08 15:03:58,3.040s,PASSED
"setText(findTestObject(""FSM1/Launch Application/Page_JClient/input_gwt-TextBox GKH2EKQBMDB""), ""KIR1"")",Chrome 71.0.3578.98,,2019-01-08 15:03:58,2019-01-08 15:03:58,0.212s,PASSED
"sendKeys(findTestObject(""FSM1/Launch Application/Page_JClient/input_gwt-TextBox GKH2EKQBMDB""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-08 15:03:58,2019-01-08 15:03:58,0.080s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-08 15:03:58,2019-01-08 15:04:01,3.002s,PASSED
"click(findTestObject(""FSM1/Launch Application/Page_JClient/div_Configure App""))",Chrome 71.0.3578.98,,2019-01-08 15:04:01,2019-01-08 15:04:02,0.122s,PASSED
"setText(findTestObject(""FSM1/Launch Application/Page_JClient/input_gwt-TextBox GKH2EKQBNHC""), findTestData(""Pre Production/Environmental/UandP"").getValue(3, 1))",Chrome 71.0.3578.98,,2019-01-08 15:04:02,2019-01-08 15:04:02,0.711s,PASSED
"setText(findTestObject(""FSM1/Launch Application/Page_JClient/input_gwt-PasswordTextBox GKH2""), findTestData(""Pre Production/Environmental/UandP"").getValue(4, 1))",Chrome 71.0.3578.98,,2019-01-08 15:04:02,2019-01-08 15:04:02,0.136s,PASSED
"click(findTestObject(""FSM1/Launch Application/Page_JClient/div_Sign In""))",Chrome 71.0.3578.98,,2019-01-08 15:04:02,2019-01-08 15:04:03,0.098s,PASSED
delay(15),Chrome 71.0.3578.98,,2019-01-08 15:04:03,2019-01-08 15:04:18,15.002s,PASSED
,,,,,,
Test Cases/Form Jobs/IV17/Complete IV17 Inspection,Chrome 71.0.3578.98,,2019-01-08 15:04:18,2019-01-08 15:05:28,1m - 10.565s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 71.0.3578.98,,2019-01-08 15:04:18,2019-01-08 15:04:18,0.001s,PASSED
delay(15),Chrome 71.0.3578.98,,2019-01-08 15:04:18,2019-01-08 15:04:33,15.005s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Main Menu_GKH2EKQBMBC""))",Chrome 71.0.3578.98,,2019-01-08 15:04:33,2019-01-08 15:04:33,0.143s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-08 15:04:33,2019-01-08 15:04:36,3.008s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Form Jobs""))",Chrome 71.0.3578.98,,2019-01-08 15:04:36,2019-01-08 15:04:36,0.116s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_IV17 Import checks""))",Chrome 71.0.3578.98,,2019-01-08 15:04:36,2019-01-08 15:04:36,0.102s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_WITH OPERATIVE""))",Chrome 71.0.3578.98,,2019-01-08 15:04:36,2019-01-08 15:04:37,0.648s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_TRAVELLING""))",Chrome 71.0.3578.98,,2019-01-08 15:04:37,2019-01-08 15:04:37,0.151s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-08 15:04:37,2019-01-08 15:04:40,3.001s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_TRAVELLING""))",Chrome 71.0.3578.98,,2019-01-08 15:04:40,2019-01-08 15:04:40,0.067s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_ARRIVED""))",Chrome 71.0.3578.98,,2019-01-08 15:04:40,2019-01-08 15:04:40,0.139s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-08 15:04:40,2019-01-08 15:04:43,3.003s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_ARRIVED""))",Chrome 71.0.3578.98,,2019-01-08 15:04:43,2019-01-08 15:04:43,0.065s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_STARTED""))",Chrome 71.0.3578.98,,2019-01-08 15:04:43,2019-01-08 15:04:43,0.091s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-08 15:04:43,2019-01-08 15:04:46,3.005s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Edit attributes""))",Chrome 71.0.3578.98,,2019-01-08 15:04:46,2019-01-08 15:04:47,0.144s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:04:47,2019-01-08 15:04:49,2.005s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Live Ferrets_radio_group""))",Chrome 71.0.3578.98,,2019-01-08 15:04:49,2019-01-08 15:04:49,0.095s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_SpeciesCommodity_gwt-Tex""), ""Test automation"")",Chrome 71.0.3578.98,,2019-01-08 15:04:49,2019-01-08 15:04:49,0.183s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Region_radio_group_2""))",Chrome 71.0.3578.98,,2019-01-08 15:04:49,2019-01-08 15:04:49,0.082s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Initial details""))",Chrome 71.0.3578.98,,2019-01-08 15:04:49,2019-01-08 15:04:49,0.111s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:04:49,2019-01-08 15:04:51,2.003s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Consignment ID (ITAHC CV""), ""test automation"")",Chrome 71.0.3578.98,,2019-01-08 15:04:51,2019-01-08 15:04:51,0.183s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Work Schedule_gwt-TextBo""), ""123"")",Chrome 71.0.3578.98,,2019-01-08 15:04:51,2019-01-08 15:04:51,0.116s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Save""))",Chrome 71.0.3578.98,,2019-01-08 15:04:51,2019-01-08 15:04:51,0.117s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:04:51,2019-01-08 15:04:53,2.003s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_DIP Checks""))",Chrome 71.0.3578.98,,2019-01-08 15:04:53,2019-01-08 15:04:54,0.208s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:04:54,2019-01-08 15:04:56,2.002s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_IA Is the consignee awar""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.085s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Not Checked_radio_group_""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.083s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_CV Does the ITAHC provid""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.087s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_CD Are the destination d""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.093s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Not Checked_radio_group__1""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.083s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_ID Does the identificati""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.083s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Not Checked_radio_group__2""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.085s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_MR If applicable do moveme""), 2)",Chrome 71.0.3578.98,Release 22 - FP-764,2019-01-08 15:04:56,2019-01-08 15:04:56,0.039s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_PC Have physical checks""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.080s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Save DIP""))",Chrome 71.0.3578.98,,2019-01-08 15:04:56,2019-01-08 15:04:56,0.085s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:04:57,2019-01-08 15:04:59,2.002s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Checked at Location(s)""))",Chrome 71.0.3578.98,,2019-01-08 15:04:59,2019-01-08 15:04:59,0.134s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:04:59,2019-01-08 15:05:01,2.004s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Select all applicable lo""))",Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.082s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Number of animals checke""), ""10"")",Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.141s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/input_Number of samples taken_""), ""2"")",Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.111s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Checked at Location(s)Date""))",Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.080s,PASSED
mydate = new java.util.Date(),Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.007s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.003s,PASSED
"sendKeys(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/IV17 Date of Visit""), formattedDate)",Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.128s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Save Location""))",Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:01,0.076s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:05:01,2019-01-08 15:05:03,2.003s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Non-compliance further inf""))",Chrome 71.0.3578.98,,2019-01-08 15:05:03,2019-01-08 15:05:03,0.105s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:05:03,2019-01-08 15:05:05,2.004s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/textarea_Non-compliance furthe""), ""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"")",Chrome 71.0.3578.98,Release 22 - FP-765,2019-01-08 15:05:05,2019-01-08 15:05:09,3.134s,PASSED
"click(findTestObject(""FSM1/Release22/Page_JClient/div_Save_NonCompliance""))",Chrome 71.0.3578.98,,2019-01-08 15:05:09,2019-01-08 15:05:09,0.076s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:05:09,2019-01-08 15:05:11,2.001s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Save Complete""))",Chrome 71.0.3578.98,,2019-01-08 15:05:11,2019-01-08 15:05:11,0.097s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_STARTED""))",Chrome 71.0.3578.98,,2019-01-08 15:05:11,2019-01-08 15:05:11,0.089s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_COMPLETED""))",Chrome 71.0.3578.98,,2019-01-08 15:05:11,2019-01-08 15:05:11,0.095s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:05:11,2019-01-08 15:05:13,2.003s,PASSED
"click(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/div_Ok""))",Chrome 71.0.3578.98,,2019-01-08 15:05:13,2019-01-08 15:05:13,0.098s,PASSED
delay(15),Chrome 71.0.3578.98,,2019-01-08 15:05:13,2019-01-08 15:05:28,15.004s,PASSED
"FormJobReference = getText(findTestObject(""Object Repository/FSM1/Release22/Page_JClient/Form Job Reference""))",Chrome 71.0.3578.98,,2019-01-08 15:05:28,2019-01-08 15:05:28,0.096s,PASSED
"FormJobReference = FormJobReference.replaceAll(""Form Job 1 \("", """")",Chrome 71.0.3578.98,,2019-01-08 15:05:28,2019-01-08 15:05:28,0.004s,PASSED
"FormJobReference = FormJobReference.replaceAll(""\)"", """")",Chrome 71.0.3578.98,,2019-01-08 15:05:28,2019-01-08 15:05:28,0.001s,PASSED
log.logWarning(FormJobReference),Chrome 71.0.3578.98,,2019-01-08 15:05:28,2019-01-08 15:05:28,0.002s,PASSED
temp1 = FormJobReference,Chrome 71.0.3578.98,,2019-01-08 15:05:28,2019-01-08 15:05:28,0.000s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre - Check Result,Chrome 71.0.3578.98,,2019-01-08 15:05:28,2019-01-08 15:05:55,26.715s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-08 15:05:28,2019-01-08 15:05:31,2.973s,PASSED
navigateToUrl(CCURL),Chrome 71.0.3578.98,,2019-01-08 15:05:31,2019-01-08 15:05:32,0.851s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 71.0.3578.98,,2019-01-08 15:05:32,2019-01-08 15:05:33,0.368s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 71.0.3578.98,,2019-01-08 15:05:33,2019-01-08 15:05:33,0.183s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 15:05:33,2019-01-08 15:05:35,2.002s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 71.0.3578.98,,2019-01-08 15:05:35,2019-01-08 15:05:35,0.098s,PASSED
delay(20),Chrome 71.0.3578.98,,2019-01-08 15:05:35,2019-01-08 15:05:55,20.001s,PASSED
,,,,,,
Test Cases/Form Jobs/IV17/Control Centre - Check Results - IV17,Chrome 71.0.3578.98,,2019-01-08 15:05:55,2019-01-08 15:06:01,5.860s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 71.0.3578.98,,2019-01-08 15:05:55,2019-01-08 15:05:55,0.001s,PASSED
"setText(findTestObject(""Object Repository/FSM1/EMI Check Results/Page_JM Control Centre/input_Recents_v-textfield v-wi""), temp1)",Chrome 71.0.3578.98,,2019-01-08 15:05:55,2019-01-08 15:05:55,0.199s,PASSED
"click(findTestObject(""Object Repository/FSM1/EMI Check Results/Page_JM Control Centre/span_""))",Chrome 71.0.3578.98,,2019-01-08 15:05:55,2019-01-08 15:05:56,0.611s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/FSM1/EMI Check Results/Page_JM Control Centre/div_CLOSED""), 60)",Chrome 71.0.3578.98,,2019-01-08 15:05:56,2019-01-08 15:05:58,1.741s,PASSED
