Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ICW Regression - 190,Chrome 70.0.3538.77,,2018-11-09 13:25:06,2018-11-09 13:31:42,6m - 35.555s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.77,,2018-11-09 13:25:07,2018-11-09 13:25:23,15.849s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 13:25:08,2018-11-09 13:25:14,6.147s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 13:25:14,2018-11-09 13:25:15,1.358s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:15,2018-11-09 13:25:17,1.734s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:17,2018-11-09 13:25:17,0.363s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:17,2018-11-09 13:25:18,0.254s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-09 13:25:18,2018-11-09 13:25:23,5.099s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 70.0.3538.77,,2018-11-09 13:25:23,2018-11-09 13:27:32,2m - 9.071s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.77,,2018-11-09 13:25:24,2018-11-09 13:25:24,0.004s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:24,2018-11-09 13:25:24,0.214s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:24,2018-11-09 13:25:26,1.898s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:26,2018-11-09 13:25:27,0.938s,PASSED
"Statement - ABPInspectionTypeJ = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/span_ABPR01A - Composting and), ""text"", ""equals"", ABPInspectionType, true)",Chrome 70.0.3538.77,,2018-11-09 13:25:27,2018-11-09 13:25:27,0.068s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:27,2018-11-09 13:25:27,0.348s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:27,2018-11-09 13:25:29,2.163s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:29,2018-11-09 13:25:30,0.574s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:30,2018-11-09 13:25:30,0.415s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:30,2018-11-09 13:25:31,0.387s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:31,2018-11-09 13:25:31,0.465s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:31,2018-11-09 13:25:32,0.571s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:32,2018-11-09 13:25:32,0.470s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:32,2018-11-09 13:25:33,0.346s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:33,2018-11-09 13:25:33,0.436s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:33,2018-11-09 13:25:33,0.333s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:33,2018-11-09 13:25:34,0.468s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:34,2018-11-09 13:25:34,0.391s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:34,2018-11-09 13:25:35,0.615s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:35,2018-11-09 13:25:35,0.481s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:35,2018-11-09 13:25:36,0.589s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:36,2018-11-09 13:25:37,0.734s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:37,2018-11-09 13:25:38,1.551s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:38,2018-11-09 13:25:39,0.608s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:39,2018-11-09 13:25:39,0.542s,PASSED
"Statement - FullAddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/Address), ""text"", ""equals"", com.kms.katalon.core.testdata.TestDataFactory.findTestData(Pre Production/ABP/ABP Inspection Data 01a).getValue(3, 1), true)",Chrome 70.0.3538.77,,2018-11-09 13:25:39,2018-11-09 13:25:39,0.027s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:39,2018-11-09 13:25:41,1.454s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:41,2018-11-09 13:25:42,0.714s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-09 13:25:42,2018-11-09 13:25:44,2.004s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:44,2018-11-09 13:25:44,0.605s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-09 13:25:44,2018-11-09 13:25:51,6.582s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:51,2018-11-09 13:25:51,0.407s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:51,2018-11-09 13:25:55,4.278s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:55,2018-11-09 13:25:57,1.925s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:25:57,2018-11-09 13:25:58,0.576s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:58,2018-11-09 13:25:58,0.002s,NOT_RUN
Statement - mydate = new java.util.Date(),Chrome 70.0.3538.77,,2018-11-09 13:25:58,2018-11-09 13:25:58,0.014s,PASSED
Statement - tomorrow = mydate.next(),Chrome 70.0.3538.77,,2018-11-09 13:25:58,2018-11-09 13:25:58,0.003s,PASSED
"Statement - formattedDate = tomorrow.format(""dd-MMM-yyyy"")",Chrome 70.0.3538.77,,2018-11-09 13:25:58,2018-11-09 13:25:58,0.003s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:58,2018-11-09 13:25:59,1.324s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 13:25:59,2018-11-09 13:26:00,1.112s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 13:26:00,2018-11-09 13:26:01,0.554s,PASSED
