Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ICW Regression - 191 - 3rd,Chrome 70.0.3538.102,,2018-11-14 08:55:19,2018-11-14 09:02:16,6m - 56.912s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.102,,2018-11-14 08:55:20,2018-11-14 08:55:36,16.180s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-14 08:55:21,2018-11-14 08:55:27,5.601s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-14 08:55:27,2018-11-14 08:55:29,2.129s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 08:55:29,2018-11-14 08:55:30,1.433s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 08:55:30,2018-11-14 08:55:31,0.562s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:31,2018-11-14 08:55:31,0.314s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 08:55:31,2018-11-14 08:55:36,5.137s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 70.0.3538.102,,2018-11-14 08:55:36,2018-11-14 08:57:52,2m - 15.320s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-14 08:55:37,2018-11-14 08:55:37,0.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:37,2018-11-14 08:55:38,0.232s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:38,2018-11-14 08:55:41,3.000s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 08:55:41,2018-11-14 08:55:42,0.978s,PASSED
"Statement - ABPInspectionTypeJ = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/span_ABPR01A - Composting and), ""text"", ""equals"", ABPInspectionType, true)",Chrome 70.0.3538.102,,2018-11-14 08:55:42,2018-11-14 08:55:42,0.101s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:42,2018-11-14 08:55:42,0.629s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:42,2018-11-14 08:55:45,2.268s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:45,2018-11-14 08:55:45,0.533s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:45,2018-11-14 08:55:46,0.529s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:46,2018-11-14 08:55:46,0.560s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:46,2018-11-14 08:55:47,0.561s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:47,2018-11-14 08:55:47,0.638s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:47,2018-11-14 08:55:48,0.639s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:48,2018-11-14 08:55:49,0.492s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:49,2018-11-14 08:55:49,0.570s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:49,2018-11-14 08:55:50,0.477s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:50,2018-11-14 08:55:50,0.516s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 08:55:50,2018-11-14 08:55:51,0.545s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 08:55:51,2018-11-14 08:55:52,0.766s,PASSED
