Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ICW Regression - 42 - EU,Chrome 70.0.3538.102,,2018-11-14 13:38:55,2018-11-14 13:45:24,6m - 29.076s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.102,,2018-11-14 13:38:56,2018-11-14 13:39:12,15.680s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-14 13:38:57,2018-11-14 13:39:03,5.567s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-14 13:39:03,2018-11-14 13:39:04,1.642s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 13:39:04,2018-11-14 13:39:06,1.819s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 13:39:06,2018-11-14 13:39:06,0.390s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:06,2018-11-14 13:39:07,0.211s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 13:39:07,2018-11-14 13:39:12,5.117s,PASSED
,,,,,,
Test Cases/ABP/Generic/Create ABP Inspection - Manual Assignment,Chrome 70.0.3538.102,,2018-11-14 13:39:12,2018-11-14 13:41:21,2m - 9.601s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-14 13:39:13,2018-11-14 13:39:13,0.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:13,2018-11-14 13:39:13,0.159s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:13,2018-11-14 13:39:15,2.067s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 13:39:15,2018-11-14 13:39:16,1.158s,PASSED
"Statement - ABPInspectionTypeJ = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FSM1/Create ABP Inspection Manual Ass/Page_JM Control Centre/Page_JM Control Centre/Page_JM Control Centre/span_ABPR01A - Composting and), ""text"", ""equals"", ABPInspectionType, true)",Chrome 70.0.3538.102,,2018-11-14 13:39:16,2018-11-14 13:39:16,0.080s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:16,2018-11-14 13:39:17,0.507s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:17,2018-11-14 13:39:19,2.233s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:19,2018-11-14 13:39:20,0.569s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:20,2018-11-14 13:39:20,0.373s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:20,2018-11-14 13:39:20,0.502s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:20,2018-11-14 13:39:21,0.588s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:21,2018-11-14 13:39:22,0.578s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 13:39:22,2018-11-14 13:39:22,0.422s,PASSED
