Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NCP Regression - Broilers,Chrome 71.0.3578.98,,2018-12-27 10:47:31,2018-12-27 10:53:09,5m - 38.395s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 71.0.3578.98,,2018-12-27 10:47:31,2018-12-27 10:47:42,11.166s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-27 10:47:32,2018-12-27 10:47:35,3.783s,PASSED
navigateToUrl(CCURL),Chrome 71.0.3578.98,,2018-12-27 10:47:35,2018-12-27 10:47:36,1.034s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 71.0.3578.98,,2018-12-27 10:47:36,2018-12-27 10:47:37,0.443s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 71.0.3578.98,,2018-12-27 10:47:37,2018-12-27 10:47:37,0.182s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 71.0.3578.98,,2018-12-27 10:47:37,2018-12-27 10:47:37,0.156s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-27 10:47:37,2018-12-27 10:47:42,5.027s,PASSED
,,,,,,
Test Cases/NCP/Generic/Create NCP Inspection - Manual Assignment,Chrome 71.0.3578.98,,2018-12-27 10:47:42,2018-12-27 10:49:53,2m - 10.719s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 71.0.3578.98,,2018-12-27 10:47:43,2018-12-27 10:47:43,0.003s,PASSED
"waitForElementClickable(findTestObject(""FSM1/NCP/Create Inspection/Page_JM Control Centre/div_Create""), 60)",Chrome 71.0.3578.98,,2018-12-27 10:47:43,2018-12-27 10:47:51,7.835s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-27 10:47:51,2018-12-27 10:47:54,3.005s,PASSED
"click(findTestObject(""Object Repository/FSM1/NCP/Create Inspection/Page_JM Control Centre/div_Create""))",Chrome 71.0.3578.98,,2018-12-27 10:47:54,2018-12-27 10:47:54,0.111s,PASSED
"setText(findTestObject(""Object Repository/FSM1/NCP/Create Inspection/Page_JM Control Centre/input_Type_gwt-uid-8""), ""cso01 - ncp salmonella"")",Chrome 71.0.3578.98,,2018-12-27 10:47:54,2018-12-27 10:47:56,2.293s,PASSED
"click(findTestObject(""Object Repository/FSM1/NCP/Create Inspection/Page_JM Control Centre/span_CSO01 - NCP Salmonella""))",Chrome 71.0.3578.98,,2018-12-27 10:47:56,2018-12-27 10:47:56,0.213s,PASSED
"setText(findTestObject(""Object Repository/FSM1/NCP/Create Inspection/Page_JM Control Centre/input_Type_gwt-uid-8""), ""CSO01 - NCP Salmonella"")",Chrome 71.0.3578.98,,2018-12-27 10:47:56,2018-12-27 10:47:56,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/FSM1/NCP/Create Inspection/Page_JM Control Centre/div_SLA_v-filterselect-button""))",Chrome 71.0.3578.98,,2018-12-27 10:47:56,2018-12-27 10:47:59,2.522s,PASSED
