Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PMM Regression - Compliance - Rejected,Chrome 70.0.3538.110,R21 - FP-184,2018-12-13 11:10:58,2018-12-13 11:19:04,8m - 5.882s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.110,,2018-12-13 11:10:59,2018-12-13 11:11:33,33.567s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-13 11:11:00,2018-12-13 11:11:08,7.832s,PASSED
navigateToUrl(CCURL),Chrome 70.0.3538.110,,2018-12-13 11:11:08,2018-12-13 11:11:13,4.685s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 70.0.3538.110,,2018-12-13 11:11:13,2018-12-13 11:11:15,2.646s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 70.0.3538.110,,2018-12-13 11:11:15,2018-12-13 11:11:17,1.749s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 70.0.3538.110,,2018-12-13 11:11:17,2018-12-13 11:11:18,0.391s,PASSED
delay(15),Chrome 70.0.3538.110,,2018-12-13 11:11:18,2018-12-13 11:11:33,15.066s,PASSED
,,,,,,
Test Cases/PMM/Generic/Create PMM Inspection,Chrome 70.0.3538.110,,2018-12-13 11:11:33,2018-12-13 11:16:24,4m - 51.554s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.110,,2018-12-13 11:11:34,2018-12-13 11:11:34,0.007s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-13 11:11:34,2018-12-13 11:11:36,2.004s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/div_Create""))",Chrome 70.0.3538.110,,2018-12-13 11:11:36,2018-12-13 11:11:36,0.136s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-13 11:11:36,2018-12-13 11:11:38,2.012s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Type_gwt-uid-8""), PMMInspectionType)",Chrome 70.0.3538.110,,2018-12-13 11:11:38,2018-12-13 11:11:43,4.728s,PASSED
"PMMInspectionType = modifyObjectProperty(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_PMR03A - Producer Complia""), ""text"", ""equals"", PMMInspectionType, true)",Chrome 70.0.3538.110,,2018-12-13 11:11:43,2018-12-13 11:11:43,0.039s,PASSED
"click(PMMInspectionType, STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-13 11:11:43,2018-12-13 11:11:43,0.294s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_v-filterselect-button_1""))",Chrome 70.0.3538.110,,2018-12-13 11:11:43,2018-12-13 11:11:46,3.567s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/span_24 Hours""))",Chrome 70.0.3538.110,,2018-12-13 11:11:46,2018-12-13 11:11:47,0.605s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Region_gwt-uid-24""), ""w"")",Chrome 70.0.3538.110,,2018-12-13 11:11:47,2018-12-13 11:11:48,0.759s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_West""))",Chrome 70.0.3538.110,,2018-12-13 11:11:48,2018-12-13 11:11:48,0.691s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Priority_gwt-uid-26""), ""h"")",Chrome 70.0.3538.110,,2018-12-13 11:11:48,2018-12-13 11:11:49,0.695s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_High""))",Chrome 70.0.3538.110,,2018-12-13 11:11:49,2018-12-13 11:11:50,0.652s,PASSED
"if (verifyElementPresent(findTestObject(""JM_8918/PMM/Page_JM Control Centre/Page_JM Control Centre/InspectionType""), 2, OPTIONAL))",Chrome 70.0.3538.110,,2018-12-13 11:11:50,2018-12-13 11:11:53,2.836s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/div_Species_v-filterselect-but""))",Chrome 70.0.3538.110,,2018-12-13 11:11:53,2018-12-13 11:11:53,0.512s,PASSED
