Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PMM Regression - Compliance,Chrome 70.0.3538.102,,2018-11-22 16:33:27,2018-11-22 16:41:27,7m - 59.144s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.102,,2018-11-22 16:33:28,2018-11-22 16:33:43,14.812s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 16:33:29,2018-11-22 16:33:34,4.951s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 16:33:34,2018-11-22 16:33:36,1.491s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:36,2018-11-22 16:33:37,1.763s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:37,2018-11-22 16:33:38,0.373s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:38,2018-11-22 16:33:38,0.193s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:33:38,2018-11-22 16:33:43,5.129s,PASSED
,,,,,,
Test Cases/PMM/Compliance/Create PMM Inspection - Compliance,Chrome 70.0.3538.102,,2018-11-22 16:33:43,2018-11-22 16:37:45,4m - 1.566s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.102,,2018-11-22 16:33:44,2018-11-22 16:33:44,0.002s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:33:44,2018-11-22 16:33:46,2.007s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:46,2018-11-22 16:33:46,0.168s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:33:46,2018-11-22 16:33:48,2.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:48,2018-11-22 16:33:49,1.076s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:49,2018-11-22 16:33:49,0.361s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:49,2018-11-22 16:33:49,0.006s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-22 16:33:49,2018-11-22 16:33:52,2.205s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:52,2018-11-22 16:33:52,0.391s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:52,2018-11-22 16:33:52,0.322s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:52,2018-11-22 16:33:53,0.418s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:53,2018-11-22 16:33:53,0.411s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:53,2018-11-22 16:33:54,0.369s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:54,2018-11-22 16:33:54,0.408s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:54,2018-11-22 16:33:54,0.398s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:54,2018-11-22 16:33:55,0.338s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:55,2018-11-22 16:33:55,0.456s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:55,2018-11-22 16:33:55,0.343s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:55,2018-11-22 16:33:56,0.439s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:56,2018-11-22 16:33:56,0.351s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:33:56,2018-11-22 16:33:57,0.428s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:57,2018-11-22 16:33:57,0.478s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:57,2018-11-22 16:33:58,0.372s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:58,2018-11-22 16:33:58,0.402s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:58,2018-11-22 16:33:58,0.412s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:58,2018-11-22 16:33:59,0.494s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:59,2018-11-22 16:33:59,0.390s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:33:59,2018-11-22 16:34:00,0.393s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:34:00,2018-11-22 16:34:00,0.446s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:34:00,2018-11-22 16:34:01,0.451s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:34:01,2018-11-22 16:34:01,0.328s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:34:01,2018-11-22 16:34:02,1.581s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:34:02,2018-11-22 16:34:03,0.584s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:34:03,2018-11-22 16:34:04,0.818s,PASSED
"Statement - FullAddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(FSM1/Control Centre/Create EMI Inspection/Page_JM Control Centre/Address), ""text"", ""equals"", com.kms.katalon.core.testdata.TestDataFactory.findTestData(Pre Production/PMM/PMM Inspection Data).getValue(2, 1), true)",Chrome 70.0.3538.102,,2018-11-22 16:34:04,2018-11-22 16:34:04,0.130s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:34:04,2018-11-22 16:34:05,1.006s,PASSED
