Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PMM Regression - Registration - Rejected,Chrome 70.0.3538.110,,2018-12-04 14:17:40,2018-12-04 14:24:47,7m - 6.470s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 70.0.3538.110,,2018-12-04 14:17:41,2018-12-04 14:17:57,16.242s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-04 14:17:42,2018-12-04 14:17:47,5.370s,PASSED
navigateToUrl(CCURL),Chrome 70.0.3538.110,,2018-12-04 14:17:47,2018-12-04 14:17:50,2.383s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 70.0.3538.110,,2018-12-04 14:17:50,2018-12-04 14:17:51,1.642s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 70.0.3538.110,,2018-12-04 14:17:51,2018-12-04 14:17:52,0.394s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 70.0.3538.110,,2018-12-04 14:17:52,2018-12-04 14:17:52,0.221s,PASSED
delay(5),Chrome 70.0.3538.110,,2018-12-04 14:17:52,2018-12-04 14:17:57,5.058s,PASSED
,,,,,,
Test Cases/PMM/Registration/Create PMM Inspection - Registration,Chrome 70.0.3538.110,,2018-12-04 14:17:57,2018-12-04 14:22:23,4m - 25.905s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.110,,2018-12-04 14:17:58,2018-12-04 14:17:58,0.002s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-04 14:17:58,2018-12-04 14:18:00,2.003s,PASSED
"click(findTestObject(""FSM1/Complete ABP Inspection/Create PMM Registration/Page_JM Control Centre/div_Create""))",Chrome 70.0.3538.110,,2018-12-04 14:18:00,2018-12-04 14:18:00,0.167s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-04 14:18:00,2018-12-04 14:18:02,2.003s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/d/Page_JM Control Centre/input_Type_gwt-uid-8""), ""pmr03"")",Chrome 70.0.3538.110,,2018-12-04 14:18:02,2018-12-04 14:18:03,0.691s,PASSED
"click(findTestObject(""FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_PMR03 - Producer Registration""))",Chrome 70.0.3538.110,,2018-12-04 14:18:03,2018-12-04 14:18:03,0.384s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/e/Page_JM Control Centre/div_SLA_v-filterselect-button""))",Chrome 70.0.3538.110,,2018-12-04 14:18:03,2018-12-04 14:18:05,1.782s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/e/Page_JM Control Centre/span_24 Hours""))",Chrome 70.0.3538.110,,2018-12-04 14:18:05,2018-12-04 14:18:05,0.464s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/e/Page_JM Control Centre/div_Region_v-filterselect-butt""))",Chrome 70.0.3538.110,,2018-12-04 14:18:05,2018-12-04 14:18:06,0.435s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/e/Page_JM Control Centre/span_West""))",Chrome 70.0.3538.110,,2018-12-04 14:18:06,2018-12-04 14:18:06,0.405s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/d/Page_JM Control Centre/div_Production Type_v-filterse""))",Chrome 70.0.3538.110,,2018-12-04 14:18:06,2018-12-04 14:18:07,0.361s,PASSED
