Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PMM Regression - Registration,Chrome 71.0.3578.98,,2018-12-21 12:30:53,2018-12-21 12:39:08,8m - 15.056s,PASSED
,,,,,,
Test Cases/Generic/Launch Job Manager Control Centre,Chrome 71.0.3578.98,,2018-12-21 12:30:54,2018-12-21 12:31:09,15.327s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-21 12:30:55,2018-12-21 12:31:00,5.267s,PASSED
navigateToUrl(CCURL),Chrome 71.0.3578.98,,2018-12-21 12:31:00,2018-12-21 12:31:02,1.515s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-3""), Username)",Chrome 71.0.3578.98,,2018-12-21 12:31:02,2018-12-21 12:31:03,1.750s,PASSED
"setText(findTestObject(""FSM1/Control Centre/Page_Job Manager Login/input_gwt-uid-5""), Password)",Chrome 71.0.3578.98,,2018-12-21 12:31:03,2018-12-21 12:31:04,0.388s,PASSED
"click(findTestObject(""FSM1/PreProd/Page_Job Manager Login/div_Login""))",Chrome 71.0.3578.98,,2018-12-21 12:31:04,2018-12-21 12:31:04,0.206s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-21 12:31:04,2018-12-21 12:31:09,5.058s,PASSED
,,,,,,
Test Cases/PMM/Generic/Create PMM Inspection,Chrome 71.0.3578.98,,2018-12-21 12:31:09,2018-12-21 12:36:24,5m - 14.503s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 71.0.3578.98,,2018-12-21 12:31:10,2018-12-21 12:31:10,0.001s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/div_Create""), 60, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 12:31:10,2018-12-21 12:31:18,7.847s,PASSED
delay(2),Chrome 71.0.3578.98,,2018-12-21 12:31:18,2018-12-21 12:31:20,2.003s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/div_Create""))",Chrome 71.0.3578.98,,2018-12-21 12:31:20,2018-12-21 12:31:20,0.139s,PASSED
delay(2),Chrome 71.0.3578.98,,2018-12-21 12:31:20,2018-12-21 12:31:22,2.002s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Type_gwt-uid-8""), PMMInspectionType)",Chrome 71.0.3578.98,,2018-12-21 12:31:22,2018-12-21 12:31:25,2.601s,PASSED
"PMMInspectionType = modifyObjectProperty(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_PMR03A - Producer Complia""), ""text"", ""equals"", PMMInspectionType, true)",Chrome 71.0.3578.98,,2018-12-21 12:31:25,2018-12-21 12:31:25,0.117s,PASSED
"click(PMMInspectionType, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 12:31:25,2018-12-21 12:31:25,0.308s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/div_v-filterselect-button_1""))",Chrome 71.0.3578.98,,2018-12-21 12:31:25,2018-12-21 12:31:28,3.009s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection New/Page_JM Control Centre/span_24 Hours""))",Chrome 71.0.3578.98,,2018-12-21 12:31:28,2018-12-21 12:31:29,0.420s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Region_gwt-uid-24""), ""w"")",Chrome 71.0.3578.98,,2018-12-21 12:31:29,2018-12-21 12:31:29,0.606s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_West""))",Chrome 71.0.3578.98,,2018-12-21 12:31:29,2018-12-21 12:31:30,0.356s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Priority_gwt-uid-26""), ""h"")",Chrome 71.0.3578.98,,2018-12-21 12:31:30,2018-12-21 12:31:30,0.383s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_High""))",Chrome 71.0.3578.98,,2018-12-21 12:31:30,2018-12-21 12:31:30,0.307s,PASSED
"if (verifyElementPresent(findTestObject(""JM_8918/PMM/Page_JM Control Centre/Page_JM Control Centre/InspectionType""), 2, OPTIONAL))",Chrome 71.0.3578.98,,2018-12-21 12:31:30,2018-12-21 12:31:34,3.260s,PASSED
else,Chrome 71.0.3578.98,,2018-12-21 12:31:34,2018-12-21 12:31:37,2.898s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/div_Species_v-filterselect-but""))",Chrome 71.0.3578.98,,2018-12-21 12:31:37,2018-12-21 12:31:37,0.369s,PASSED
"click(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/span_Chicken""))",Chrome 71.0.3578.98,,2018-12-21 12:31:37,2018-12-21 12:31:37,0.535s,PASSED
"setText(findTestObject(""Object Repository/JM_8918/PMM/Registration/Page_JM Control Centre/input_Keeper ID_gwt-uid-34""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:37,2018-12-21 12:31:38,0.506s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Keeper ID_gwt-uid-36""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:38,2018-12-21 12:31:38,0.460s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Keeper Name_gwt-uid-38""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:38,2018-12-21 12:31:39,0.596s,PASSED
"setText(findTestObject(""Object Repository/FSM1/Create PMM Inspection/a/Page_JM Control Centre/Page_JM Control Centre/input_Keeper Contact Name_gwt-""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:39,2018-12-21 12:31:39,0.405s,PASSED
"setText(findTestObject(""Object Repository/JM_8918/PMM/Registration/Page_JM Control Centre/input_Location ID_gwt-uid-44""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:39,2018-12-21 12:31:40,0.447s,PASSED
"setText(findTestObject(""Object Repository/JM_8918/PMM/Registration/Page_JM Control Centre/input_Customer ID_gwt-uid-48""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:40,2018-12-21 12:31:40,0.422s,PASSED
"setText(findTestObject(""Object Repository/JM_8918/PMM/Registration/Page_JM Control Centre/input_Customer Name_gwt-uid-50""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:40,2018-12-21 12:31:41,0.451s,PASSED
"setText(findTestObject(""Object Repository/JM_8918/PMM/Registration/Page_JM Control Centre/input_Customer Contact Name_gw""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:41,2018-12-21 12:31:41,0.514s,PASSED
"setText(findTestObject(""Object Repository/JM_8918/PMM/Registration/Page_JM Control Centre/input_County Parish Holding (C""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:41,2018-12-21 12:31:42,0.435s,PASSED
"setText(findTestObject(""Object Repository/JM_8918/PMM/Registration/Page_JM Control Centre/input_CPHH_gwt-uid-64""), RandomStringUtils.randomNumeric(5))",Chrome 71.0.3578.98,,2018-12-21 12:31:42,2018-12-21 12:31:42,0.456s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection/Page_JM Control Centre/span_""))",Chrome 71.0.3578.98,,2018-12-21 12:31:42,2018-12-21 12:31:42,0.389s,PASSED
"click(findTestObject(""FSM1/Control Centre/Create EMI Inspection/Address Search/Page_JM Control Centre/Postcode Search""))",Chrome 71.0.3578.98,,2018-12-21 12:31:42,2018-12-21 12:31:44,1.732s,PASSED
"setText(findTestObject(""FSM1/PreProd/Page_JM Control Centre/PostcodeSearch""), findTestData(""Pre Production/PMM/PMM Inspection Data"").getValue(1, 1))",Chrome 71.0.3578.98,,2018-12-21 12:31:44,2018-12-21 12:31:45,0.686s,PASSED
